rank,mark,wind,name,nat
1,43.74,Steven GARDINER,12 SEP 1995,1
2,43.91,Muzala SAMUKONGA,09 DEC 2002,1f1
3,44.03,Rusheen MCDONALD,17 AUG 1992,2
4,44.08,Wayde VAN NIEKERK,15 JUL 1992,1
5,44.21,Rai BENJAMIN,27 JUL 1997,1f1
6,44.22,Bryce DEADMON,26 MAR 1997,1
7,44.24,Emmanuel BAMIDELE,06 JUL 1999,1
8,44.25,Ryan WILLIE,24 JUN 2002,2
9,44.39,Vernon NORWOOD,10 APR 1992,2
10,44.41,Quincy HALL,31 JUL 1998,3
11,44.43,Sean BAILEY,15 JUL 1997,1
12,44.47,Justin ROBINSON,30 MAR 2002,4
13,44.49,Emmanuel BYNUM,01 OCT 2000,3
14,44.50,Kirani JAMES,01 SEP 1992,2
15,44.54,Jereem RICHARDS,13 JAN 1994,1
15,44.54,Antonio WATSON,11 SEP 2001,2
17,44.55,Elija GODWIN,01 JUL 1999,2
18,44.61,Bayapo NDORI,20 JUN 1999,1f6
18,44.61,Zarik BROWN,02 SEP 1999,1
20,44.65,Fred KERLEY,07 MAY 1995,1
20,44.65,William JONES,03 OCT 2003,1
22,44.72,Matthew HUDSON-SMITH,26 OCT 1994,4
23,44.73,Alonzo RUSSELL,08 FEB 1992,2f1
23,44.73,Alison DOS SANTOS,03 JUN 2000,3
25,44.74,Zakithi NENE,02 APR 1998,4
26,44.75,Letsile TEBOGO,07 JUN 2003,1
27,44.77,Michael JOSEPH,01 NOV 2002,1h1
28,44.79,Lucas CARVALHO,16 JUL 1993,1h1
29,44.80,Lythe PILLAY,25 FEB 2003,2
29,44.80,Johnnie BLOCKBURGER,12 JUL 2002,2
29,44.80,Richard JOHNSON,08 NOV 1999,3
32,44.81,Dubem NWACHKWU,08 FEB 2000,2sf2
32,44.81,Reheem HAYLES,09 MAR 2001,3sf3
34,44.82,James BENSON,10 AUG 2000,5
34,44.82,Leungo SCOTCH,28 FEB 1996,1f1
36,44.84,Christopher BAILEY,29 JAN 2000,1f2
37,44.85,Desean Anju L BOYCE,23 OCT 2001,1f6
38,44.86,Håvard Bentdal INGVALDSEN,21 SEP 2002,4
39,44.90,Zandrion BARNES,17 AUG 2001,2f1
40,44.91,Busang Collen KEBINATSHIPI,13 FEB 2004,1
41,44.92,Trevor STEWART,20 MAY 1997,1
42,44.98,Attila MOLNÁR,17 JAN 2002,1
43,45.00,Kentaro SATO,16 NOV 1994,1
44,45.01,Ashraf Hussen OSMAN,02 DEC 2001,1
45,45.02,Jevaughn POWELL,19 NOV 2000,3sf2
45,45.02,D'Andre ANDERSON,18 MAR 2001,2sf1
47,45.05,João COELHO,04 APR 1999,2f1
47,45.05,Gilles BIRON,13 APR 1995,1h1
49,45.06,Liemarvin BONEVACIA,05 APR 1989,3f1
50,45.07,Manuel SANDERS,03 APR 1998,1
50,45.07,Kalinga KUMARAGE,25 SEP 1992,1
52,45.09,Dylan BORLÉE,20 SEP 1992,1f2
53,45.10,Javon FRANCIS,14 DEC 1994,2f1
54,45.11,Evan MILLER,29 AUG 2000,2h5
55,45.12,Khaleb MCRAE,09 SEP 2000,6
55,45.12,Gamali FELIX,17 MAR 1999,4sf2
55,45.12,Yuki Joseph NAKAJIMA,30 MAR 2002,1f1
58,45.13,Ismail TURNER,31 JUL 2001,2f2
58,45.13,Zibane NGOZI,31 OCT 1992,1h2
58,45.13,Fuga SATO,01 JUN 1996,2
61,45.15,Gardeo ISAACS,27 DEC 1998,3
62,45.17,Patrick Kakozi NYAMBE,23 OCT 2002,2
62,45.17,Matthew BOLING,20 JUN 2000,6
64,45.18,Téo ANDANT,21 JUL 1999,2f2
65,45.19,Youssef Ahmed MASRAHI,31 DEC 1987,3
65,45.19,Ryuki IWASAKI,13 AUG 2000,1f1
67,45.21,Davide RE,16 MAR 1993,1
68,45.22,Noah WILLIAMS,01 JAN 1999,3f1
68,45.22,Simbarashe MAKETA,07 JUL 2001,2h1
68,45.22,Malik JAMES-KING,28 JUN 1999,4sf1
71,45.24,Roshawn CLARKE,01 JUL 2004,2f2
72,45.25,Trevor BASSITT,26 FEB 1998,1f2
72,45.25,Jenoah MCKIVER,03 APR 2002,2f1
72,45.25,Myles MISENER-DALEY,06 MAR 2001,5
72,45.25,Alex HAYDOCK-WILSON,28 JUL 1999,5f1
72,45.25,Jacory PATTERSON,02 FEB 2000,6sf1
72,45.25,Lionel SPITZ,12 JAN 2001,1
78,45.26,Deandre WATKIN,09 DEC 2002,2sf3
79,45.27,Delano KENNEDY,03 FEB 2004,1
79,45.27,Iñaki CAÑAL,30 SEP 1997,2f1
79,45.27,Alexander OGANDO,03 MAY 2000,1f3
82,45.28,Alexander DOOM,25 APR 1997,3f1
83,45.29,Isaiah JEWETT,06 FEB 1997,4f1
83,45.29,Óscar HUSILLOS,18 JUL 1993,4f1
85,45.31,Oleksandr POHORILKO,16 APR 2000,2f1
85,45.31,Demish GAYE,20 JAN 1993,3h1
85,45.31,Tyler FLOYD,11 OCT 2004,1
88,45.32,David SOMBE,24 APR 2000,1
89,45.33,Luis AVILÉS FERREIRO,03 MAR 2002,1f1
90,45.34,Willington WRIGHT,16 SEP 2000,4f2
90,45.34,Chris GILES,,1f3
90,45.34,Elián LARREGINA,20 FEB 2000,1f2
93,45.35,Paul DEDEWO,05 JUN 1991,5f1
94,45.36,Muhammed Ajmal VARIYATHODI,01 JUN 1998,4
95,45.37,Abderrahman Almoubarrake S ALSALECK,05 SEP 1995,1
95,45.37,Cameron REYNOLDS,,7
95,45.37,Lidio Andres FELIZ,26 JUN 1997,4
98,45.38,Valente MENDOZA,17 JAN 1997,2f1
98,45.38,Brian HERRON,24 NOV 2000,5
100,45.39,Lorenzo BENATI,05 APR 2002,2
